/	mainapp.views.IndexList	index
/__debug_/render_panel/	debug_toolbar.views.render_panel	djdt:render_panel
/__debug_/sql_explain/	debug_toolbar.panels.sql.views.sql_explain	djdt:sql_explain
/__debug_/sql_profile/	debug_toolbar.panels.sql.views.sql_profile	djdt:sql_profile
/__debug_/sql_select/	debug_toolbar.panels.sql.views.sql_select	djdt:sql_select
/__debug_/template_source/	debug_toolbar.panels.templates.views.template_source	djdt:template_source
/admin/	django.contrib.admin.sites.index	admin:index
/admin/<app_label>/	django.contrib.admin.sites.app_index	admin:app_list
/admin/<url>	django.contrib.admin.sites.catch_all_view
/admin/auth/group/	django.contrib.admin.options.changelist_view	admin:auth_group_changelist
/admin/auth/group/<path:object_id>/	django.views.generic.base.RedirectView
/admin/auth/group/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:auth_group_change
/admin/auth/group/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:auth_group_delete
/admin/auth/group/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:auth_group_history
/admin/auth/group/add/	django.contrib.admin.options.add_view	admin:auth_group_add
/admin/autocomplete/	django.contrib.admin.sites.autocomplete_view	admin:autocomplete
/admin/baskets/basket/	django.contrib.admin.options.changelist_view	admin:baskets_basket_changelist
/admin/baskets/basket/<path:object_id>/	django.views.generic.base.RedirectView
/admin/baskets/basket/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:baskets_basket_change
/admin/baskets/basket/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:baskets_basket_delete
/admin/baskets/basket/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:baskets_basket_history
/admin/baskets/basket/add/	django.contrib.admin.options.add_view	admin:baskets_basket_add
/admin/jsi18n/	django.contrib.admin.sites.i18n_javascript	admin:jsi18n
/admin/login/	django.contrib.admin.sites.login	admin:login
/admin/logout/	django.contrib.admin.sites.logout	admin:logout
/admin/mainapp/categoryproduct/	django.contrib.admin.options.changelist_view	admin:mainapp_categoryproduct_changelist
/admin/mainapp/categoryproduct/<path:object_id>/	django.views.generic.base.RedirectView
/admin/mainapp/categoryproduct/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:mainapp_categoryproduct_change
/admin/mainapp/categoryproduct/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:mainapp_categoryproduct_delete
/admin/mainapp/categoryproduct/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:mainapp_categoryproduct_history
/admin/mainapp/categoryproduct/add/	django.contrib.admin.options.add_view	admin:mainapp_categoryproduct_add
/admin/mainapp/product/	django.contrib.admin.options.changelist_view	admin:mainapp_product_changelist
/admin/mainapp/product/<path:object_id>/	django.views.generic.base.RedirectView
/admin/mainapp/product/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:mainapp_product_change
/admin/mainapp/product/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:mainapp_product_delete
/admin/mainapp/product/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:mainapp_product_history
/admin/mainapp/product/add/	django.contrib.admin.options.add_view	admin:mainapp_product_add
/admin/password_change/	django.contrib.admin.sites.password_change	admin:password_change
/admin/password_change/done/	django.contrib.admin.sites.password_change_done	admin:password_change_done
/admin/r/<int:content_type_id>/<path:object_id>/	django.contrib.contenttypes.views.shortcut	admin:view_on_site
/admin/social_django/association/	django.contrib.admin.options.changelist_view	admin:social_django_association_changelist
/admin/social_django/association/<path:object_id>/	django.views.generic.base.RedirectView
/admin/social_django/association/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:social_django_association_change
/admin/social_django/association/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:social_django_association_delete
/admin/social_django/association/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:social_django_association_history
/admin/social_django/association/add/	django.contrib.admin.options.add_view	admin:social_django_association_add
/admin/social_django/nonce/	django.contrib.admin.options.changelist_view	admin:social_django_nonce_changelist
/admin/social_django/nonce/<path:object_id>/	django.views.generic.base.RedirectView
/admin/social_django/nonce/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:social_django_nonce_change
/admin/social_django/nonce/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:social_django_nonce_delete
/admin/social_django/nonce/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:social_django_nonce_history
